Timestamp_UTC,IP,Index,Parameter_Name,Value,Unit
2026-05-11T18:04:55Z,10.16.130.51,26,Total Distortion PF,99.81707,%
2026-05-11T18:11:26Z,10.16.130.51,1,Date,6/7/2022,
2026-05-11T18:11:26Z,10.16.130.51,2,Time,14:25:36,
2026-05-11T18:11:26Z,10.16.130.51,3,L1 Real Power,19248.087891,W
2026-05-11T18:11:26Z,10.16.130.51,4,L2 Real Power,35306.59375,W
2026-05-11T18:11:26Z,10.16.130.51,5,L3 Real Power,-20587.005859,W
2026-05-11T18:11:26Z,10.16.130.51,6,Total Real Power,33967.671875,W
2026-05-11T18:11:26Z,10.16.130.51,7,L1 Reactive Power,48780.46875,VAR
2026-05-11T18:11:26Z,10.16.130.51,8,L2 Reactive Power,40278.78125,VAR
2026-05-11T18:11:26Z,10.16.130.51,9,L3 Reactive Power,-30304.769531,VAR
2026-05-11T18:11:26Z,10.16.130.51,10,Total Reactive Power,58754.480469,VAR
2026-05-11T18:11:26Z,10.16.130.51,11,L1 Apparent Power,52582.953125,VA
2026-05-11T18:11:26Z,10.16.130.51,12,L2 Apparent Power,53663.191406,VA
2026-05-11T18:11:26Z,10.16.130.51,13,L3 Apparent Power,36889.136719,VA
2026-05-11T18:11:26Z,10.16.130.51,14,Total Apparent Power,143135.28125,VA
2026-05-11T18:11:26Z,10.16.130.51,15,L1 True PF,-36.605186,%
2026-05-11T18:11:26Z,10.16.130.51,16,L2 True PF,-65.792946,%
2026-05-11T18:11:26Z,10.16.130.51,17,L3 True PF,-55.80777,%
2026-05-11T18:11:26Z,10.16.130.51,18,Total True PF,-24.291309,%
2026-05-11T18:11:26Z,10.16.130.51,19,L1 Displacement PF,-49.667404,%
2026-05-11T18:11:26Z,10.16.130.51,20,L2 Displacement PF,-71.668884,%
2026-05-11T18:11:26Z,10.16.130.51,21,L3 Displacement PF,-68.761589,%
2026-05-11T18:11:26Z,10.16.130.51,22,Total Displacement PF,98.579773,%
2026-05-11T18:11:26Z,10.16.130.51,23,L1 Distortion PF,99.954453,%
2026-05-11T18:11:26Z,10.16.130.51,24,L2 Distortion PF,99.929344,%
2026-05-11T18:11:26Z,10.16.130.51,25,L3 Distortion PF,99.766281,%
2026-05-11T18:11:26Z,10.16.130.51,26,Total Distortion PF,99.883362,%
2026-05-11T18:16:16Z,10.16.130.51,1,Date,6/7/2022,
2026-05-11T18:16:16Z,10.16.130.51,2,Time,14:30:26,
2026-05-11T18:16:16Z,10.16.130.51,3,L1 Real Power,25180.666016,W
2026-05-11T18:16:16Z,10.16.130.51,4,L2 Real Power,42842.9375,W
2026-05-11T18:16:16Z,10.16.130.51,5,L3 Real Power,-27148.65625,W
2026-05-11T18:16:16Z,10.16.130.51,6,Total Real Power,40874.945312,W
2026-05-11T18:16:16Z,10.16.130.51,7,L1 Reactive Power,50685.355469,VAR
2026-05-11T18:16:16Z,10.16.130.51,8,L2 Reactive Power,42272.292969,VAR
2026-05-11T18:16:16Z,10.16.130.51,9,L3 Reactive Power,-30734.808594,VAR
2026-05-11T18:16:16Z,10.16.130.51,10,Total Reactive Power,62222.839844,VAR
2026-05-11T18:16:16Z,10.16.130.51,11,L1 Apparent Power,56823.324219,VA
2026-05-11T18:16:16Z,10.16.130.51,12,L2 Apparent Power,60277.941406,VA
2026-05-11T18:16:16Z,10.16.130.51,13,L3 Apparent Power,41289.46875,VA
2026-05-11T18:16:16Z,10.16.130.51,14,Total Apparent Power,158390.734375,VA
2026-05-11T18:16:16Z,10.16.130.51,15,L1 True PF,-44.313961,%
2026-05-11T18:16:16Z,10.16.130.51,16,L2 True PF,-71.075645,%
2026-05-11T18:16:16Z,10.16.130.51,17,L3 True PF,-65.752014,%
2026-05-11T18:16:16Z,10.16.130.51,18,Total True PF,-25.803717,%
2026-05-11T18:16:16Z,10.16.130.51,19,L1 Displacement PF,-33.04768,%
2026-05-11T18:16:16Z,10.16.130.51,20,L2 Displacement PF,-66.013916,%
2026-05-11T18:16:16Z,10.16.130.51,21,L3 Displacement PF,-54.719589,%
2026-05-11T18:16:16Z,10.16.130.51,22,Total Displacement PF,99.975784,%
2026-05-11T18:16:16Z,10.16.130.51,23,L1 Distortion PF,99.938217,%
2026-05-11T18:16:16Z,10.16.130.51,24,L2 Distortion PF,99.875847,%
2026-05-11T18:16:16Z,10.16.130.51,25,L3 Distortion PF,99.519341,%
2026-05-11T18:16:16Z,10.16.130.51,26,Total Distortion PF,99.777802,%
